País,Coffee type,Total_production ,Year
Ethiopia,Arabica,204420000.0,1996
Gabon,Robusta,60000.0,1996
Ghana,Robusta,1920000.0,1996
Guatemala,Arabica/Robusta,271500000.0,1996
Guinea,Robusta,8880000.0,1996
Guyana,Robusta,0.0,1996
Honduras,Arabica,120240000.0,1996
India,Robusta/Arabica,205020000.0,1996
Jamaica,Arabica,3240000.0,1996
Kenya,Arabica,74820000.0,1996
Lao People's Democratic Republic,Robusta,0.0,1996
Liberia,Robusta,300000.0,1996
Mexico,Arabica/Robusta,306600000.0,1996
Nepal,Arabica,0.0,1996
Nicaragua,Arabica,47580000.0,1996
Nigeria,Robusta,2760000.0,1996
Panama,Arabica,12660000.0,1996
Sierra Leone,Robusta,2460000.0,1996
Sri Lanka,Robusta/Arabica,2220000.0,1996
Thailand,Robusta/Arabica,84240000.0,1996
Togo,Robusta,17460000.0,1996
Trinidad & Tobago,Robusta,1080000.0,1996
Uganda,Robusta/Arabica,205140000.0,1996
Venezuela,Arabica,72360000.0,1996
Viet Nam,Robusta/Arabica,345120000.0,1996
Yemen,Arabica,0.0,1996
Angola,Robusta/Arabica,3840000.0,1997
Bolivia (Plurinational State of),Arabica,8460000.0,1997
Brazil,Arabica/Robusta,1568880000.0,1997
Burundi,Arabica/Robusta,15000000.0,1997
Ecuador,Arabica/Robusta,71460000.0,1997
Indonesia,Robusta/Arabica,457260000.0,1997
Madagascar,Robusta,37440000.0,1997
Malawi,Arabica,3660000.0,1997
Papua New Guinea,Arabica/Robusta,64440000.0,1997
Paraguay,Arabica,2940000.0,1997
Peru,Arabica,115800000.0,1997
Rwanda,Arabica,11580000.0,1997
Timor-Leste,Arabica,0.0,1997
Zimbabwe,Arabica,7800000.0,1997
Congo,Robusta,180000.0,1997
Cuba,Arabica,18000000.0,1997
Dominican Republic,Arabica/Robusta,56460000.0,1997
Haiti,Arabica,25920000.0,1997
Philippines,Robusta/Arabica,56100000.0,1997
Tanzania,Arabica/Robusta,37440000.0,1997
Zambia,Arabica,2280000.0,1997
Cameroon,Robusta/Arabica,53340000.0,1997
Central African Republic,Robusta,6840000.0,1997
Colombia,Arabica,727320000.0,1997
Costa Rica,Arabica,157020000.0,1997
Côte d'Ivoire,Robusta,249840000.0,1997
Democratic Republic of Congo,Robusta/Arabica,48660000.0,1997
El Salvador,Arabica,130500000.0,1997
Equatorial Guinea,Robusta,120000.0,1997
Ethiopia,Arabica,183420000.0,1997
Gabon,Robusta,180000.0,1997
Ghana,Robusta,1620000.0,1997
Guatemala,Arabica/Robusta,253140000.0,1997
Guinea,Robusta,10320000.0,1997
Guyana,Robusta,0.0,1997
Honduras,Arabica,153840000.0,1997
India,Robusta/Arabica,246540000.0,1997
Jamaica,Arabica,2820000.0,1997
Kenya,Arabica,52920000.0,1997
Lao People's Democratic Republic,Robusta,0.0,1997
Liberia,Robusta,300000.0,1997
Mexico,Arabica/Robusta,288120000.0,1997
Nepal,Arabica,0.0,1997
Nicaragua,Arabica,65040000.0,1997
Nigeria,Robusta,2700000.0,1997
Panama,Arabica,13020000.0,1997
Sierra Leone,Robusta,3000000.0,1997
Sri Lanka,Robusta/Arabica,3480000.0,1997
Thailand,Robusta/Arabica,77580000.0,1997
Togo,Robusta,13260000.0,1997
Trinidad & Tobago,Robusta,1140000.0,1997
Uganda,Robusta/Arabica,206400000.0,1997
Venezuela,Arabica,57060000.0,1997
Viet Nam,Robusta/Arabica,418740000.0,1997
Yemen,Arabica,0.0,1997
Angola,Robusta/Arabica,5100000.0,1998
Bolivia (Plurinational State of),Arabica,8280000.0,1998
Brazil,Arabica/Robusta,2205660000.0,1998
Burundi,Arabica/Robusta,29520000.0,1998
Ecuador,Arabica/Robusta,72360000.0,1998
Indonesia,Robusta/Arabica,437760000.0,1998
Madagascar,Robusta,59520000.0,1998
Malawi,Arabica,3840000.0,1998
Papua New Guinea,Arabica/Robusta,81120000.0,1998
Paraguay,Arabica,1920000.0,1998
Peru,Arabica,126120000.0,1998
Rwanda,Arabica,13380000.0,1998
Timor-Leste,Arabica,0.0,1998
Zimbabwe,Arabica,8940000.0,1998
Congo,Robusta,180000.0,1998
Cuba,Arabica,16800000.0,1998
Dominican Republic,Arabica/Robusta,29220000.0,1998
Haiti,Arabica,26340000.0,1998
Philippines,Robusta/Arabica,40620000.0,1998
Tanzania,Arabica/Robusta,44340000.0,1998
Zambia,Arabica,3720000.0,1998
Cameroon,Robusta/Arabica,66840000.0,1998
Central African Republic,Robusta,12900000.0,1998
Colombia,Arabica,652080000.0,1998
Costa Rica,Arabica,146700000.0,1998
Côte d'Ivoire,Robusta,119520000.0,1998
Democratic Republic of Congo,Robusta/Arabica,44280000.0,1998
El Salvador,Arabica,123300000.0,1998
Equatorial Guinea,Robusta,60000.0,1998
Ethiopia,Arabica,175680000.0,1998
Gabon,Robusta,240000.0,1998
Ghana,Robusta,3240000.0,1998
Guatemala,Arabica/Robusta,293580000.0,1998
Guinea,Robusta,25260000.0,1998
Guyana,Robusta,360000.0,1998
Honduras,Arabica,131700000.0,1998
India,Robusta/Arabica,265020000.0,1998
Jamaica,Arabica,1740000.0,1998
Kenya,Arabica,70380000.0,1998
Lao People's Democratic Republic,Robusta,10260000.0,1998
Liberia,Robusta,1080000.0,1998
Mexico,Arabica/Robusta,288060000.0,1998
Nepal,Arabica,0.0,1998
Nicaragua,Arabica,64380000.0,1998
Nigeria,Robusta,3180000.0,1998
Panama,Arabica,11520000.0,1998
Sierra Leone,Robusta,1620000.0,1998
Sri Lanka,Robusta/Arabica,2760000.0,1998
Thailand,Robusta/Arabica,54960000.0,1998
Togo,Robusta,19260000.0,1998
Trinidad & Tobago,Robusta,1020000.0,1998
Uganda,Robusta/Arabica,203160000.0,1998
Venezuela,Arabica,95820000.0,1998
Viet Nam,Robusta/Arabica,423120000.0,1998
Yemen,Arabica,4140000.0,1998
Angola,Robusta/Arabica,3300000.0,1999
Bolivia (Plurinational State of),Arabica,9480000.0,1999
